Date,Time,Ecg (bps),Uv (mW/cm2),Gyro (Degree),Flex (Degrees),Fsr (mV),Strain  (mV),Pulse  (),SpO2
,,439,0.72,,5,,,,
,,453,0.75,,4,,,,
,,549,0.75,,4,,,,
,,522,0.72,,5,,,,
,,436,0.75,,4,,,,
,,471,0.75,,3,,,,
,,557,0.75,,5,,,,
,,508,0.75,,6,,,,
,,433,0.72,,6,,,,
,,493,0.75,,4,,,,
,,562,0.75,,4,,,,
,,493,0.75,,4,,,,
,,436,0.75,,6,,,,
,,512,0.75,,5,,,,
,,560,0.75,,3,,,,
,,476,0.72,,3,,,,
,,441,0.75,,4,,,,
,,533,0.75,,4,,,,
,,556,0.75,,5,,,,
,,464,0.75,,3,,,,
,,451,0.75,,5,,,,
,,550,0.75,,4,,,,
,,550,0.75,,5,,,,
,,456,0.75,,3,,,,
,,462,0.72,,4,,,,
,,560,0.72,,5,,,,
,,534,0.75,,4,,,,
,,446,0.75,,4,,,,
,,476,0.75,,3,,,,
,,566,0.75,,3,,,,
,,519,0.75,,3,,,,
,,441,0.75,,3,,,,
,,494,0.75,,5,,,,
,,570,0.72,,4,,,,
,,507,0.75,,4,,,,
,,449,0.72,,4,,,,
,,525,0.75,,3,,,,
,,581,0.75,,3,,,,
,,507,0.75,,4,,,,
,,476,0.75,,4,,,,
,,566,0.72,,5,,,,
,,595,0.75,,4,,,,
,,505,0.72,,13,,,,
,,478,0.75,,97,,,,
,,568,0.78,,22,,,,
,,569,0.75,,41,,,,
,,473,0.75,,51,,,,
,,474,0.72,,39,,,,
,,568,0.75,,49,,,,
,,546,0.72,,7,,,,
,,456,0.72,,22,,,,
,,484,0.75,,9,,,,
,,577,0.75,,22,,,,
,,533,0.75,,19,,,,
,,442,0.75,,15,,,,
,,473,0.75,,74,,,,
,,552,0.75,,18,,,,
,,555,0.75,,104,,,,
,,657,0.78,,15,,,,
,,975,0.75,,62,,,,
,,1024,0.75,,26,,,,
,,933,0.75,,108,,,,
,,646,0.75,,22,,,,
,,593,0.75,,29,,,,
,,561,0.75,,39,,,,
,,470,0.75,,18,,,,
,,482,0.75,,18,,,,
,,577,0.75,,101,,,,
,,550,0.75,,16,,,,
,,456,0.75,,75,,,,
,,480,0.75,,12,,,,
,,570,0.75,,74,,,,
,,532,0.72,,18,,,,
,,450,0.75,,61,,,,
,,499,0.72,,78,,,,
,,577,0.75,,30,,,,
,,516,0.75,,97,,,,
,,453,0.75,,22,,,,
,,525,0.72,,94,,,,
,,588,0.75,,65,,,,
,,510,0.75,,34,,,,
,,469,0.75,,113,,,,
,,560,0.75,,15,,,,
,,600,0.75,,112,,,,
,,514,0.75,,72,,,,
,,496,0.75,,31,,,,
,,595,0.75,,22,,,,
,,613,0.75,,61,,,,
,,523,0.75,,130,,,,
,,528,0.75,,30,,,,
,,637,0.75,,87,,,,
,,633,0.75,,110,,,,
,,546,0.75,,18,,,,
,,578,0.75,,161,,,,
,,679,0.75,,22,,,,
,,652,0.75,,91,,,,
,,576,0.75,,112,,,,
,,624,0.75,,27,,,,
,,712,0.75,,159,,,,
,,654,0.78,,29,,,,
,,581,0.75,,105,,,,
,,637,0.75,,94,,,,
,,685,0.75,,26,,,,
,,586,0.72,,134,,,,
